,aspect,base_category
1933,driving through central london,drive
1934,sl c300,model / generic car terms
1935,city noise,audio
1936,leather seats,seats
1938,stereo system,audio
1939,optional baskets,storage & utility
1940,wood grain,interior materials & trim / finish
1941,engine notes,engine / power train
1942,manual driving,transmission
1943,drawer,storage & utility
1944,tail lights design,lighting
1945,digital display view change,visibility & view
1947,roundabout,cornering
1948,headlight,lighting
1950,entry level petrol engine,engine / power train
1952,switch between screens,displays / instrumentation
1953,brake,brake
1955,snow and ice,road terrain
1956,stiffness,suspension
1957,blind spot mornitoring,safety
1958,driver seat,drive
1960,speed limit,acceleration
1963,trunk space,climate / temperature control
1964,rear door bins,storage & utility
1966,pumps sound,audio
1968,magnetic ride,drive
1969,glove boxes,boot/cargo
1970,wheel drive,drive
1971,usb,connectivity / integration
1972,load floor,boot/cargo
1973,technology price,software / interaction
1974,interior overall,interior
1975,handling right,Driving Dynamics / Handling
1976,plugin hybrids,fuel / energy / charging
1977,v8 engine,engine / power train
1978,body structure,body class
1979,"bmw 3 40 i , drive",model / generic car terms
1980,few buttons,model / generic car terms
1981,windscreen wipers,windscreen / wipers
1982,electric engine,engine / power train
1983,supportive gas struts,seats
1984,front grill,grill
1985,second row,passenger space
1986,cargo room,boot/cargo
1987,v8 engine,engine / power train
1988,driving assistance package,climate / temperature control
1989,road,road terrain
1991,sports plus suspension,suspension
1992,balance,traction / stability
1993,grip,traction / stability
1994,lighting animations,lighting
1995,traction,climate / temperature control
1996,understeer,steering
1997,materials quality,interior materials & trim / finish
1999,tire rim,wheels & tyres
2000,rock crawling,road terrain
2001,storage areas,storage & utility
2002,blind state monitoring,visibility & view
2003,drive motor,drive
2004,engines,engine / power train
2005,electronic shifter,transmission
2007,rs3,model / generic car terms
2008,roof bars,roof
2009,leg side bolsters,seats
2010,tether points,boot/cargo
2011,cruising,driver assistance
2013,m 7 60,model / generic car terms
2014,indicators,displays / instrumentation
2015,reversing,driver assistance
2016,new q5,model / generic car terms
2017,appearance,design
2018,mercedes-benz accents,model / generic car terms
2019,torque rating,engine/ power train
2020,below body structure,body class
2021,0 to 60 time,acceleration
2022,lighting functions,lighting
2024,cubby space,climate / temperature control
2025,automatic box,boot/cargo
2026,audi a8,model / generic car terms
2027,carbon fibre,exterior materials & finish
2028,audi a3 lineup,model / generic car terms
2030,windshield wipers,aerodynamics / airflow
2031,tire,wheels & tyres
2032,quattro wheel drive,model / generic car terms
2033,two axle air suspension,suspension
2034,gt three bumpy road,model / generic car terms
2035,starting the car,model / generic car terms
2036,bmw 7 60 li,model / generic car terms
2038,concierge service,road terrain
2041,air intake gt-r,model / generic car terms
2042,garment satnav,seats
2043,auto bends,cornering
2044,trim,interior materials & trim / finish
2045,wing mirror,mirrors
2046,normal wheel base version,chassis / structural
2047,green color,design
2048,spacious,climate / temperature control
2050,a3,model / generic car terms
2051,potential performance,performance
2052,lower dash plastic,displays / instrumentation
2053,two litre diesel,fuel / energy / charging
2054,displacement,climate / temperature control
2055,front seat backs,climate / temperature control
2056,brake field,brake
2057,reversing camera definition,driver assistance
2058,tronic gearbox,transmission
2059,lift over height,dimensions & measurements
2060,mercedes sl,model / generic car terms
2062,third row seats,seats
2063,driving environment lay out,drive
2064,entertainment screen,displays / instrumentation
2065,window down,aerodynamics / airflow
2066,top end rush,acceleration
2067,launch,acceleration
2068,fold seats down,seats
2069,tv chair,displays / instrumentation
2071,magnifying glass,visibility & view
2073,engine pulling power,engine / power train
2074,new r8,model / generic car terms
2075,manual mode,transmission
2076,displays,displays / instrumentation
2080,machine,climate / temperature control
2082,safety,safety
2083,design ethos,design
2084,performance advantage,performance
2085,styling appeal,design
2087,steering wheel adjustment,Comfort & Ergonomics
2088,paddle shifter,transmission
2089,audi a5,model / generic car terms
2090,audi,model / generic car terms
2091,exterior design,exterior materials & finish
2092,sharp turn,cornering
2093,headspace,climate / temperature control
2094,rear seat roadster,seats
2096,m3,model / generic car terms
2097,roof panel,roof
2098,gt,model / generic car terms
2100,new sl,model / generic car terms
2101,ride suspension,drive
2102,doors,doors
2103,wheel turn,wheels & tyres
2104,central speaking,voice & commands
2106,whole,model / generic car terms
2107,track,climate / temperature control
2108,bmw drivers,model / generic car terms
2109,speed,acceleration
2110,place,climate / temperature control
2111,elbow room,passenger space
2112,boot liner,boot/cargo
2113,rides,drive
2115,quattro system,model / generic car terms
2116,family car,body type
2117,sun visors,windscreen / wipers
2118,view out,visibility & view
2119,automatic braking,brake
2120,race,climate / temperature control
2121,steering sport,steering
2122,a5,model / generic car terms
2123,corner comfort mode,Comfort & Ergonomics
2124,door handles,doors
2125,space,climate / temperature control
2126,grill,grill
2127,drive mode,drive
2128,diesel version,fuel / energy / charging
2129,gearbox,transmission
2130,downshifts,transmission
2131,hooks,Comfort & Ergonomics
2132,camber dirt road,road terrain
2133,audi g5,model / generic car terms
2134,price point feature,road terrain
2135,back seat,climate / temperature control
2137,gestures,gesture / motion controls
2138,glass elements on gear selector,transmission
2140,digital key,connectivity / integration
2141,middle seat legroom,seats
2142,speeds,acceleration
2143,rev counter,engine/ power train
2144,proposition,seats
2145,pedals,brake
2147,v8 engine drive,engine / power train
2148,climate control knobs,climate / temperature control
2149,interior fit and finish,interior
2150,on track performance,climate / temperature control
2151,bmw,model / generic car terms
2152,audi presence,model / generic car terms
2154,instrument cluster,displays / instrumentation
2155,head rest,seats
2156,center armrest,seats
2157,cabin noise,interior
2158,fold third row,Comfort & Ergonomics
2160,opening bonnet,doors
2161,visibility,visibility & view
2162,upgraded all round air suspension,suspension
2164,front headlights,lighting
2165,wheel arch intrusion,wheels & tyres
2166,engine start button,engine / power train
2167,m6 port,model / generic car terms
2169,doors open,doors
2171,hood vent,aerodynamics / airflow
2172,handling balance,traction / stability
2173,upgraded professional satnav,navigation / mapping
2175,utility,Comfort & Ergonomics
2176,fourth gear,transmission
2177,drive train,drive
2178,cervix fittings,model / generic car terms
2179,gt three operating window,model / generic car terms
2180,construction technique,software / interaction
2182,few pieces of plastic,exterior materials & finish
2183,technologies,software / interaction
2184,window switches,physical controls
2185,driver assistant pack,drive
2186,track days,climate / temperature control
2187,car tire pot,wheels & tyres
2189,seat belts,seats
2190,touring headroom,passenger space
2191,armrest,seats
2193,bmw 360 degree surround camera,model / generic car terms
2194,front wheel,wheels & tyres
2195,dynamic driving mode,drive
2196,all wheel drive,drive
2197,absolutely acres of,climate / temperature control
2198,exteriors,exterior materials & finish
2199,chassis,chassis / structural
2201,load cover,boot/cargo
2202,swerve control,traction / stability
2203,lumbar support,seats
2204,steering mode,steering
2205,driver satisfaction,drive
2206,gap in the back,climate / temperature control
2207,cubby,storage & utility
2208,snow storm,road terrain
2209,adaptive m6 port suspension comfort model,Comfort & Ergonomics
2210,underfloor storage,storage & utility
2211,new battery pack,model / generic car terms
2212,summer tires,wheels & tyres
2213,front seats sound,seats
2214,weight distribution,weight
2215,petrol engine running,engine / power train
2216,electric adjustment (steering),Comfort & Ergonomics
2217,dynamic gearbox shift,transmission
2218,rs5 color,model / generic car terms
2220,remote features,driver assistance
2221,pricier versions,value / cost
2222,tyrell,wheels & tyres
2223,car seat,seats
2225,led lights,lighting
2226,looks,design
2227,engine,engine / power train
2228,windshield intensity,seats
2229,drive train technology,drive
2230,mercedes-benz,model / generic car terms
2231,back side headspace,climate / temperature control
2232,premium plus trim level,interior materials & trim / finish
2233,performance level,performance
2234,sl,model / generic car terms
2235,back head room,climate / temperature control
2236,counter drive,drive
2237,power folding,engine/ power train
2238,clutch,transmission
2239,knee rooms,passenger space
2240,footroom,passenger space
2241,tail light color,design
2242,carplay,connectivity / integration
2243,cup holder,storage & utility
2245,underfloor compartment,storage & utility
2247,brake discs,brake
2248,twisty road,road terrain
2250,split tailgate,boot/cargo
2251,hybrid technology,fuel / energy / charging
2252,fold down seats,seats
2253,boot size,boot/cargo
2255,plastic head,exterior materials & finish
2258,steering buttons,steering
2259,hybrid engine,engine / power train
2260,handling,Driving Dynamics / Handling
2262,circular dial,physical controls
2263,dynamic exhaust,exhaust
2264,height,dimensions & measurements
2265,front brakes discs,brake
2267,adjustable side bolsters,seats
2268,chassis braces,climate / temperature control
2269,interior experience,interior
2270,small bump,road terrain
2271,door tops,doors
2272,stop start system,brake
2274,boot features,boot/cargo
2275,suspension(sport),suspension
2276,only apple carplay,connectivity / integration
2277,seatbelt adjustment,Comfort & Ergonomics
2279,ipod connector to stereo,audio
2280,backup camera,climate / temperature control
2281,shifting,transmission
2282,audi interface,model / generic car terms
2283,exterior styling,exterior materials & finish
2284,picking the route,navigation / mapping
2285,interior trim,interior
2286,q5,model / generic car terms
2287,sit up,seats
2288,a7 price,model / generic car terms
2289,feel behind the steering,steering
2290,wireless charging,connectivity / integration
2292,knee airbag,safety
2293,petrol models,fuel / energy / charging
2294,s3,model / generic car terms
2295,new x3,model / generic car terms
2296,loading things,boot/cargo
2297,weight balance,traction / stability
2299,middle section,passenger space
2300,competion choices,road terrain
2301,touring body,body class
2302,menu,software / interaction
2303,center arm rest,seats
2304,full multi beam led headlights,lighting
2306,storage drawer,storage & utility
2308,volvo xc60 drive,model / generic car terms
2309,purple ambient lighting,lighting
2310,comfort mode,Comfort & Ergonomics
2311,rear view camera,visibility & view
2312,drive settings,model / generic car terms
2313,four wheel drive system,drive
2314,rev counter,engine/ power train
2315,gt -r,model / generic car terms
2316,entertainment display,displays / instrumentation
2317,300d power,engine/ power train
2318,road around bends,road terrain
2319,surround view camera system,visibility & view
2320,seat sliding forward,model / generic car terms
2321,character lines,climate / temperature control
2322,nets,storage & utility
2323,gearshift modifications,transmission
2324,wheel design,wheels & tyres
2325,audi virtual cockpit,model / generic car terms
2326,sports steering,steering
2327,offroad travel,road terrain
2328,front drive shafts,drive
2329,get in the car,doors
2330,manoeuvring at low speed,steering
2332,dynamic engine,engine / power train
2333,foot and leg rest,seats
2334,steering and lane controlled assistant,steering
2335,ventilation controls,aerodynamics / airflow
2337,pedal,brake
2338,seat packets,climate / temperature control
2339,power dependability,engine/ power train
2340,screen for air conditioning,displays / instrumentation
2341,sounds,audio
2342,s8,model / generic car terms
2343,station wagon,body type
2344,side blades,body class
2346,slow speed,model / generic car terms
2347,low speed,acceleration
2349,sound,audio
2350,drive everyday,drive
2351,body shell,body class
2354,driver distraction,drive
2355,foot room,passenger space
2356,backseat headroom,climate / temperature control
2358,automatic performance,performance
2359,steering weight,steering
2360,instrument gearbox,transmission
2361,s class driving experience,model / generic car terms
2362,mercedes-benz star,model / generic car terms
2364,direction change,steering
2367,heat pump,climate / temperature control
2368,get in,doors
2370,front tires,wheels & tyres
2371,steering ratio,steering
2372,knee room,passenger space
2373,optional heads up displays,displays / instrumentation
2374,folding mirrors,mirrors
2375,seat cover,seats
2376,anti jacking,climate / temperature control
2377,windscreen,windscreen / wipers
2380,rest of the finish,interior materials & trim / finish
2381,door bin front,storage & utility
2382,tailgate opening,doors
2383,back tire,climate / temperature control
2384,slide,model / generic car terms
2385,front two seats,seats
2387,luxury package,climate / temperature control
2388,display unit,displays / instrumentation
2389,suspension,suspension
2390,power uplift,engine/ power train
2391,entry,doors
2392,3 series,model / generic car terms
2393,bottom,model / generic car terms
2394,six speed manual,transmission
2395,options,software / interaction
2397,comfort mode ride,Comfort & Ergonomics
2398,r8,model / generic car terms
2399,dampers,suspension
2400,s c suspension,suspension
2401,mountain road,road terrain
2403,air curtains,aerodynamics / airflow
2404,running costs,value / cost
2405,overhangs,aerodynamics / airflow
2406,current style,design
2407,comfort,Comfort & Ergonomics
2408,boxes,boot/cargo
2409,ambient lighting,lighting
2410,spoiler,fuel / energy / charging
2411,back room,climate / temperature control
2412,two litre tf excitable petrol,fuel / energy / charging
2413,feet adjustment,Comfort & Ergonomics
2414,s tronic,model / generic car terms
2415,mirror cover,mirrors
2416,adaptive dampers,suspension
2417,front descreasing bottom,model / generic car terms
2418,sport mode,Driving Dynamics / Handling
2419,graphic,displays / instrumentation
2420,fuel efficiency,fuel / energy / charging
2422,central locking sound,audio
2423,ground clearance,dimensions & measurements
2426,stitching,interior materials & trim / finish
2427,a4 g5 seating,model / generic car terms
2428,playing music,audio
2429,bmw 3 40 i engine,engine / power train
2431,r three,model / generic car terms
2432,car,model / generic car terms
2433,baby seats,seats
2434,bluetooth,connectivity / integration
2435,contrast,design
2436,headlight control,lighting
2437,seatbelt butler,seats
2438,gear,transmission
2439,front trunk,boot/cargo
2440,central screen,displays / instrumentation
2441,suspension (dynamic mode),suspension
2443,carrying five once,passenger space
2444,normal comfort suspension,Comfort & Ergonomics
2446,suspension redesign,suspension
2447,a6 back,model / generic car terms
2448,engine sounds,engine / power train
2449,design details,design
2450,front track,climate / temperature control
2451,corner balance,traction / stability
2452,going faster,acceleration
2454,getting back,model / generic car terms
2455,color,design
2456,view,visibility & view
2457,swiping zoom manoeuvres,gesture / motion controls
2458,lower bumper,road terrain
2459,fuel budget,fuel / energy / charging
2460,acceleration,climate / temperature control
2461,crackles,climate / temperature control
2462,sports model,model / generic car terms
2464,seal between the doors,doors
2465,tires,wheels & tyres
2466,grip,traction / stability
2468,steering precision,Driving Dynamics / Handling
2469,down the door bins,storage & utility
2470,exhaust layer,exhaust
2472,comfort adaptive,Comfort & Ergonomics
2473,sitting,model / generic car terms
2474,f40 5 a.m. g brakes,model / generic car terms
2475,styling accents,climate / temperature control
2476,going downhill,road terrain
2478,carpeting,model / generic car terms
2479,sports plus mode,Driving Dynamics / Handling
2480,19 inch wheels,wheels & tyres
2481,prices,road terrain
2484,start stop feature,brake
2485,gesture control,gesture / motion controls
2486,boot capacity,climate / temperature control
2487,swivel wheel,wheels & tyres
2489,brightness,lighting
2490,room,passenger space
2491,differential,traction / stability
2492,callipers,aerodynamics / airflow
2493,manual gear change,transmission
2494,roundabouts,cornering
2496,tt cornering,cornering
2498,red cable hybrid engine,engine / power train
2499,sport plus mode,Driving Dynamics / Handling
2501,wax dropping from the door,doors
2502,mode switch,Driving Dynamics / Handling
2503,auxillary connectors,connectivity / integration
2504,mercedes technology,model / generic car terms
2506,modern startup technology,software / interaction
2507,audi tron,model / generic car terms
2509,satin finish line,interior materials & trim / finish
2511,braking feel,brake
2513,leg room,passenger space
2514,blind spot warning,safety
2515,m5 competition,model / generic car terms
2517,exhaust pipes,exhaust
2518,driving on bumps,drive
2519,shifter,transmission
2522,mercedes a class,model / generic car terms
2523,driving function,drive
2524,lower lip,aerodynamics / airflow
2525,length,model / generic car terms
2526,rs5 quality,model / generic car terms
2527,few bumps,road terrain
2528,energizing comfort control,Comfort & Ergonomics
2529,road imperfections,road terrain
2530,exterior noise,exterior materials & finish
2531,three adults in the back,climate / temperature control
2532,down storage,storage & utility
2533,load bay,boot/cargo
2534,carrying three abreast,passenger space
2535,body,body class
2536,audi s a3,model / generic car terms
2537,boot,boot/cargo
2538,standard frame,build quality / construction
2539,shift button,model / generic car terms
2540,going fast,acceleration
2541,upshifts,transmission
2542,seat backs,climate / temperature control
2544,air bags,safety
2545,drive at speed,drive
2546,driving environment,drive
2548,seat bench,seats
2549,sun visor,windscreen / wipers
2550,logo,design
2552,especially back,climate / temperature control
2553,interior design philosophy,interior
2554,a6 backseats,model / generic car terms
2555,variable rate steering,steering
2556,touchpad,software / interaction
2557,graphics,displays / instrumentation
2558,sport setting,model / generic car terms
2559,visual presence,design
2560,gear select,transmission
2561,rs6,model / generic car terms
2562,taxi drive,drive
2563,brake pedal,brake
2564,v10 twin turbo charge,engine/ power train
2565,drive system,drive
2566,exhaust,exhaust
2568,digital screens,displays / instrumentation
2569,roof rails,roof
2570,roof rains,roof
2571,smooth road drive,drive
2572,wind intakes,aerodynamics / airflow
2573,lack of cabin noise,climate / temperature control
2574,drive version,drive
2575,pedal configuration,brake
2577,get stuff in boot,boot/cargo
2579,g class,model / generic car terms
2581,display panel,displays / instrumentation
2582,car start,model / generic car terms
2583,handling package,Driving Dynamics / Handling
2584,recline,seats
2585,f40 5 a.m. g suspension,model / generic car terms
2586,practical side,Comfort & Ergonomics
2587,stability control,traction / stability
2588,steering turn,steering
2589,pockets,storage & utility
2590,reductive sport end suspension,suspension
2591,infotainment system,software / interaction
2592,power liftgate,engine/ power train
2593,screen display,displays / instrumentation
2594,window ledges,body class
2595,launch control function,acceleration
2596,offroader,road terrain
2597,no load lift,boot/cargo
2600,360 degree surround camera,cameras
2601,dynamic handling package,Driving Dynamics / Handling
2602,estate cars,body type
2603,boot underfloor area,boot/cargo
2604,s class front seat,model / generic car terms
2605,passenger in the back,climate / temperature control
2606,torque vectoring rear differential,traction / stability
2607,event,aerodynamics / airflow
2608,f40 i x dr,model / generic car terms
2609,push button reach,model / generic car terms
2610,adjustable lumbar support,seats
2611,sound system,audio
2613,entertainment system,software / interaction
2614,pillar for leaning on window,aerodynamics / airflow
2615,gravel road,road terrain
2617,manual transmission,transmission
2619,nintendo entertainment system,software / interaction
2620,soundtrack,climate / temperature control
2623,side trim,interior materials & trim / finish
2625,graphics card,model / generic car terms
2629,rearward facing child seats,climate / temperature control
2630,steering column,steering
2631,entry level,doors
2633,i drive seven,drive
2634,headrest pillows,seats
2635,touch screen,displays / instrumentation
2636,tethering point,connectivity / integration
2637,fuel momentum99,fuel / energy / charging
2638,rpm,engine/ power train
2639,2.1 litre turbo diesel four cylinder,engine/ power train
2641,power distribution,engine/ power train
2642,rear seats,seats
2643,drive modes,drive
2644,liftgate,boot/cargo
2645,selection mode,physical controls
2646,a4 g5,model / generic car terms
2647,back roofline,climate / temperature control
2648,composure,Driving Dynamics / Handling
2649,center seat,seats
2651,carrying three adults,model / generic car terms
2652,driving dynamics,Driving Dynamics / Handling
2653,parcel shelf,storage & utility
2654,carry three passengers in back,climate / temperature control
2655,torque capability,engine/ power train
2656,side skirts,body class
2657,windscreen map,windscreen / wipers
2658,crevice,road terrain
2659,sound,audio
2660,s6,model / generic car terms
2661,pedal field,brake
2662,wind whistle,audio
2664,adaptive suspension,suspension
2665,top down display,roof
2666,sd card slot,model / generic car terms
2667,paddle shift gearbox,transmission
2668,dynamic mode,Driving Dynamics / Handling
2669,emergency services button,model / generic car terms
2670,steering feedback,steering
2672,distracted driving,climate / temperature control
2673,interior,interior
2674,styling cars,design
2675,storage,storage & utility
2676,backseat room,climate / temperature control
2678,sports mode,Driving Dynamics / Handling
2680,engine starting,engine / power train
2681,driving sensation,drive
2682,silver trim on steering,steering
2683,ride comfort,Comfort & Ergonomics
2685,sport and performance package,climate / temperature control
2686,expense,value / cost
2688,wheel base,chassis / structural
2689,power plant,engine/ power train
2691,carrying three headroom,passenger space
2692,entertainment setup,software / interaction
2693,reversing assistant,driver assistance
2694,spring rate,suspension
2695,glc c300,model / generic car terms
2696,back seats,climate / temperature control
2697,temperature,climate / temperature control
2698,spaciousness,climate / temperature control
2699,angular,design
2700,driver display panel,drive
2702,audi a3,model / generic car terms
2703,camera,cameras
2704,lateral grip,traction / stability
2705,speed control,acceleration
2706,door pockets,storage & utility
2707,five and 1/2 1000 rpm,engine/ power train
2708,door opening,doors
2709,storage area,storage & utility
2710,hybrid version,fuel / energy / charging
2711,v8,engine/ power train
2712,camera gun,cameras
2714,driving position,drive
2715,openings,doors
2716,throttle responsiveness,model / generic car terms
2717,window seal,aerodynamics / airflow
2718,power delivery,engine/ power train
2719,blinds,windows / glass
2720,engine start,engine / power train
2721,quick charge system,fuel / energy / charging
2722,seats down,seats
2723,mercedes e class coupe a,model / generic car terms
2725,sensors,connectivity / integration
2726,rear steering wheel,steering
2727,basic five series,model / generic car terms
2728,temperature control,climate / temperature control
2729,fuel consumption,fuel / energy / charging
2730,a5 sport back,model / generic car terms
2731,exhausts pipes,exhaust
2732,lights,lighting
2733,crossover,body type
2734,trip computer,displays / instrumentation
2735,over speed,acceleration
2736,second row sound,audio
2737,petrol,fuel / energy / charging
2738,bmw cars,model / generic car terms
2739,dynamic downshift,transmission
2740,cost,value / cost
2741,turbo petrol,fuel / energy / charging
2742,rs4,model / generic car terms
2743,f 30,model / generic car terms
2744,corner breaking,cornering
2745,rear air conditioning,aerodynamics / airflow
2746,air bladders,aerodynamics / airflow
2747,quattro engine,engine / power train
2748,engineering prowess,engine / power train
2749,boot opening,doors
2751,back frame,climate / temperature control
2752,e break activation lever,climate / temperature control
2754,shift lever,transmission
2755,attitude,model / generic car terms
2756,rear passengers,passenger space
2759,i drive system,drive
2760,quattro wheel drive,model / generic car terms
2761,vent,aerodynamics / airflow
2762,air blower,aerodynamics / airflow
2763,design,design
2764,space saver,climate / temperature control
2765,steering wheel paddles,steering
2766,steering sensitivity,steering
2767,cargo floor,boot/cargo
2768,road noise levels,audio
2769,back side seats,climate / temperature control
2771,electricity,fuel / energy / charging
2772,u turns,cornering
2773,interior design,interior
2775,turning,cornering
2776,insurance price,road terrain
2777,driver assistant system,drive
2778,folding metal roof,roof
2779,wheel look change,wheels & tyres
2780,modes,Driving Dynamics / Handling
2781,comfort ico plus,Comfort & Ergonomics
2782,second row roof,roof
2784,head space,climate / temperature control
2788,front armrest,seats
2789,privacy glass,climate / temperature control
2790,steering ratio ride,steering
2791,wireless charging,connectivity / integration
2793,a6,model / generic car terms
2794,front seat side bolster,seats
2795,proportions,design
2796,bmw four serious,model / generic car terms
2797,entire engine lineup,engine / power train
2799,comfort plus mode,Comfort & Ergonomics
2800,rear haunches,passenger space
2801,rest of the car,model / generic car terms
2803,rs lineage,model / generic car terms
2804,phone spot,connectivity / integration
2805,satnav,navigation / mapping
2806,over six foot tall,passenger space
2808,inside enhancements,interior
2809,bmw m3,model / generic car terms
2811,my vehicle,model / generic car terms
2812,torque,engine/ power train
2813,shift operation,transmission
2814,reversing assistant,driver assistance
2815,places in the front,climate / temperature control
2817,sports exhaust,exhaust
2818,suv,body type
2819,tire design,wheels & tyres
2820,minivan,body type
2821,brake pedal field,brake
2822,convertibles,body type
2824,back of the car,climate / temperature control
2826,priced,road terrain
2827,toggle switches,physical controls
2828,pulses,audio
2829,camera mirrors,mirrors
2830,cabin features,interior
2831,headlamps,lighting
2832,headlight design,lighting
2833,volume knob,physical controls
2835,energy harvesting,fuel / energy / charging
2836,interior space,climate / temperature control
2838,standard seats,seats
2839,traditional amber lighting,lighting
2841,car storage,storage & utility
2842,boot volume,boot/cargo
2843,no rapid charging,fuel / energy / charging
2845,lift items,boot/cargo
2846,resistance,design
2847,electric seats,seats
2848,car feels,model / generic car terms
2849,m performance version,model / generic car terms
2850,amg gt,model / generic car terms
2851,door bin back,climate / temperature control
2852,screen interface,climate / temperature control
2853,clicking sound,audio
2854,sticker price,road terrain
2855,cover storage,storage & utility
2857,s line,packages / trims / variants
2858,protective system,driver assistance
2859,weight ratio,weight
2860,front bumpers,road terrain
2861,audi q7,model / generic car terms
2862,steering wheel in parking,steering
2863,dynamic sport mode,Driving Dynamics / Handling
2864,places,climate / temperature control
2865,lines,design
2866,front wheel drive,drive
2867,tire pressure monitor,wheels & tyres
2868,rear wheel steering,steering
2869,six series gt,model / generic car terms
2871,load lip,aerodynamics / airflow
2872,lower side wall,body class
2873,seven speed automatic transmission,transmission
2875,load and unload,boot/cargo
2876,massage programs,Comfort & Ergonomics
2877,technology pack processor,climate / temperature control
2878,roof up,roof
2879,audio system,model / generic car terms
2880,getting in the back,doors
2881,boot storage,storage & utility
2882,a4 driving position,model / generic car terms
2883,rear seat,seats
2884,x6,model / generic car terms
2885,three series,model / generic car terms
2887,front passenger seat fittings,model / generic car terms
2888,structural integrity,build quality / construction
2889,electricity fuel,fuel / energy / charging
2890,backend,climate / temperature control
2891,battery upgrade,model / generic car terms
2892,spare wheel,wheels & tyres
2893,top up,roof
2894,traction control,climate / temperature control
2895,hardtop,roof
2896,exhaust system,exhaust
2897,front passenger seat,seats
2898,cargo sppace,climate / temperature control
2899,manual sport mode,transmission
2900,touchscreen,displays / instrumentation
2901,high speed,acceleration
2902,drift mode,Driving Dynamics / Handling
2903,a 35,model / generic car terms
2904,front motor,engine/ power train
2905,a6 weight,model / generic car terms
2906,body shape,body class
2907,turning circle,cornering
2908,rear deck lid,boot/cargo
2909,rear seatbacks,climate / temperature control
2910,mercedes-benz g . l . a,model / generic car terms
2911,coin holders,storage & utility
2912,aluminium,exterior materials & finish
2913,canyon,road terrain
2914,cruise control system,driver assistance
2915,comfort suspension corner handling,Driving Dynamics / Handling
2916,boot height,boot/cargo
2917,driving mode,drive
2918,electrification,fuel / energy / charging
2919,noise flow,audio
2920,bumper,road terrain
2922,backrest,climate / temperature control
2923,middle seat headroom,seats
